candidate_id,train_valid_expiries,train_gated_trades,train_gate_rate,train_mean_pnl_per_expiry,train_mean_pnl_per_gated,train_win_rate,train_es95,train_es99,train_worst_pnl,feasible,split,selected_candidate_id
Q18p5_35p0_65p0_80p5,52,33,0.6346153846153846,534.4435096153888,842.1534090909156,0.7272727272727273,10394.370731358644,11017.33307781296,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p5_35p0_65p0_81p0,52,33,0.6346153846153846,445.3980288461583,701.839318181825,0.696969696969697,10383.540513624275,10997.611006499426,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p5_35p0_65p0_81p5,52,33,0.6346153846153846,493.4270192307734,777.5213636363702,0.6666666666666666,10276.960145431247,10855.355110453687,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q18p5_35p0_65p0_82p0,52,33,0.6346153846153846,452.5544711538502,713.116136363643,0.6666666666666666,10304.545507719426,10900.965517003719,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p0_33p0_67p0_81p0,52,35,0.6730769230769231,245.96524038461877,365.43407142857603,0.7428571428571429,9711.809808743148,10132.900118202087,-39326.85218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p0_34p0_66p0_81p0,52,34,0.6538461538461539,199.20503605769667,304.66652573530047,0.7058823529411765,9931.470361860667,10377.309014171607,-39326.85218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p0_35p0_65p0_80p0,52,32,0.6153846153846154,538.949308894235,875.7926269531324,0.75,10307.481414554952,10806.100981472277,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q19p0_35p0_65p0_80p5,52,32,0.6153846153846154,455.8594050480812,740.7715332031324,0.75,10430.375640595226,10970.332535605652,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q19p0_35p0_65p0_81p0,52,32,0.6153846153846154,366.8139242788509,596.0726269531322,0.71875,10442.108457359853,10985.995549829411,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p0_35p0_65p0_81p5,52,32,0.6153846153846154,414.8429146634659,674.1197363281319,0.6875,10332.197452660794,10839.29415703224,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p0_35p0_65p0_82p0,52,33,0.6346153846153846,432.2800961538502,681.1686363636427,0.696969696969697,10178.94228187053,10706.698853232398,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p0_36p0_64p0_81p0,52,34,0.6538461538461539,301.7573437500042,461.5112316176533,0.7058823529411765,10306.390109647367,10829.791040548695,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p0_37p0_63p0_81p0,52,34,0.6538461538461539,369.99652644231196,565.8770404411828,0.6764705882352942,10502.550356872684,11042.111152869524,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p5_35p0_65p0_80p0,52,32,0.6153846153846154,672.4694050480824,1092.7627832031346,0.78125,10148.678626234429,10577.137021260325,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q19p5_35p0_65p0_80p5,52,32,0.6153846153846154,589.3795012019287,957.7416894531345,0.78125,10271.572852274703,10741.368575393699,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q19p5_35p0_65p0_81p0,52,32,0.6153846153846154,500.33402043269814,813.0427832031346,0.75,10382.61546400853,10901.082864772794,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q19p5_35p0_65p0_81p5,52,32,0.6153846153846154,548.3630108173134,891.0898925781344,0.71875,10272.704459309472,10754.381471975625,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q19p5_35p0_65p0_82p0,52,33,0.6346153846153846,565.8001923076976,891.5639393939481,0.7272727272727273,10121.25210649955,10624.359279844162,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_33p0_67p0_80p0,52,35,0.6730769230769231,332.3207211538505,493.73364285714956,0.7428571428571429,9890.35678411734,10387.898759690988,-39326.85218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_33p5_66p5_80p0,52,34,0.6538461538461539,333.5611177884669,510.15229779412607,0.7352941176470589,9956.748111348701,10422.461514454995,-39326.85218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_34p0_66p0_80p0,52,34,0.6538461538461539,285.56051682692845,436.7396139705966,0.7058823529411765,9926.533147330327,10368.292776614506,-39326.85218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_34p5_65p5_80p0,52,34,0.6538461538461539,137.3865084134666,210.1205422794197,0.7058823529411765,9907.879367551035,10299.73386546513,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_35p0_65p0_80p0,52,32,0.6153846153846154,453.1694050480827,736.4002832031344,0.75,10075.153423808391,10465.948274930444,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q20p0_35p0_65p0_80p5,52,32,0.6153846153846154,370.0795012019288,601.3791894531346,0.75,10198.047649848666,10630.17982906382,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_35p0_65p0_81p0,52,32,0.6153846153846154,281.0340204326982,456.68028320313454,0.71875,10309.090261582494,10789.894118442915,-40605.60218750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_35p0_65p0_81p5,52,32,0.6153846153846154,329.0630108173134,534.7273925781345,0.6875,10275.090589151781,10752.53919741777,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_35p0_65p0_82p0,52,33,0.6346153846153846,346.5001923076976,546.0003030303117,0.696969696969697,10123.565929376942,10622.57283178806,-35578.12718750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_35p5_64p5_80p0,52,33,0.6346153846153846,320.94492187500595,505.7313920454639,0.7272727272727273,10233.684928247983,10663.373844986978,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_36p0_64p0_80p0,52,34,0.6538461538461539,388.11282451923637,593.5843198529496,0.7352941176470589,10130.974689888077,10578.356245977811,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_36p5_63p5_80p0,52,34,0.6538461538461539,426.89287259615946,652.8949816176554,0.7352941176470589,10394.852436770107,10916.367344233478,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p0_37p0_63p0_80p0,52,34,0.6538461538461539,456.35200721154405,697.950128676479,0.7352941176470589,10539.95663373695,11100.16621151941,-38637.78968750011,False,split_a,Q20p5_35p0_65p0_79p5
Q20p5_35p0_65p0_79p5,52,34,0.6538461538461539,577.3153185096212,882.9528400735387,0.7647058823529411,9959.735920360898,10372.198902710526,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q21p0_33p0_67p0_79p0,52,36,0.6923076923076923,553.986826923082,800.203194444452,0.75,9937.836365640818,10454.722981587169,-39326.85218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q21p0_34p0_66p0_79p0,52,35,0.6730769230769231,507.22662259616004,753.5938392857239,0.7428571428571429,10047.336982039351,10537.910074146885,-39326.85218750011,True,split_a,Q20p5_35p0_65p0_79p5
Q21p0_35p0_65p0_79p0,52,34,0.6538461538461539,584.9517608173138,894.6321047794211,0.7647058823529411,10095.419877147597,10557.365150034491,-40605.60218750011,True,split_a,Q20p5_35p0_65p0_79p5
