candidate_id,family,label,target_q20,target_q35,target_q65,target_q80,valid_expiries,gated_trades,gate_rate,mean_net_pnl_per_valid_expiry,mean_net_pnl_per_gated_trade,median_net_pnl_per_gated_trade,win_rate,mean_es95_inr_proxy,mean_es99_inr_proxy,mean_shock9p3_gross_loss_inr,p05_realized_net_pnl_inr,p01_realized_net_pnl_inr,common_gated_n,common_gate_mean_delta_pnl_inr,common_gate_mean_delta_es99_inr,session_ev_retention,gated_ev_retention,win_delta_pp,es99_reduction_pct,shock_reduction_pct
Q22p0_34p0_66p0_78p0,COMBINED_SYMMETRIC,outer_-2.0pp_inner_+1.0pp,0.22,0.34,0.66,0.78,98,58,0.5918367346938775,952.7129132653124,1609.756301724148,3622.2899999999995,0.7931034482758621,11978.630919655556,12499.579997641555,113647.08499137926,-22165.551865624904,-35399.97822687508,52,185.68249399038498,120.05507457136733,1.0344347544425347,0.9452593445767984,1.951854261548469,1.4871311470024073,-2.0521026969361422
Q19p5_35p0_65p0_81p5,OUTER_ASYMMETRIC,put_0.5pp_call_1.5pp,0.195,0.35,0.65,0.815,98,55,0.5612244897959183,897.2542723214351,1598.743976136375,2140.1,0.6909090909090909,12015.146306372717,12499.898072067801,112751.25021818177,-21310.05806874993,-35577.83730875008,53,-163.4495566037736,-187.73410189760733,0.974218980280439,0.9387928355429681,-8.26758147512865,1.4846243088331046,-1.247666557806193
Q20p0_35p0_65p0_82p0,OUTER_ASYMMETRIC,put_0.0pp_call_2.0pp,0.2,0.35,0.65,0.82,98,57,0.5816326530612245,771.6777066326598,1326.744127192994,2140.1,0.6842105263157895,11969.138667095287,12500.152369656085,112811.37858771927,-21298.537837499938,-35577.82657250008,53,-526.0400990566038,-33.73555905101632,0.8378707036030657,0.7790727594905696,-8.937437934458792,1.482620114694666,-1.3016602571914948
Q20p0_34p5_65p5_80p0,INNER_SYMMETRIC,inner_shift_+0.5pp,0.2,0.345,0.655,0.8,98,56,0.5714285714285714,810.2241855867402,1417.8923247767955,2092.57125,0.75,12015.14754200787,12513.96750254485,111340.11456696424,-20708.386953124937,-36113.20077812508,53,41.29599056603774,42.70732283153956,0.8797236237601208,0.832595572487257,-2.358490566037741,1.37373898631159,0.019496259509210745
Q20p0_36p0_64p0_80p0,COMBINED_SYMMETRIC|INNER_SYMMETRIC,inner_shift_-1.0pp,0.2,0.36,0.64,0.8,98,55,0.5612244897959183,831.6130051020456,1481.7831727272812,2140.1,0.7090909090909091,12064.814857677833,12522.560445465895,110721.7734454545,-21185.993218749933,-35993.442053750085,53,-80.68922877358676,-8.191626117914636,0.9029471341745,0.8701126929317908,-6.449399656946831,1.3060154740654362,0.5747503748157023
Q21p0_37p0_63p0_79p0,COMBINED_SYMMETRIC,outer_-1.0pp_inner_-2.0pp,0.21,0.37,0.63,0.79,98,57,0.5816326530612245,839.464084183678,1443.2891271929898,2520.4874999999993,0.7017543859649122,12072.6142431534,12541.168757576965,110457.00792982453,-21156.749437499937,-35895.50325250008,53,-16.262233490567954,205.21909900218571,0.9114716633887437,0.8475087396421648,-7.183051969546517,1.159357889497048,0.8125028661684519
Q20p5_35p0_65p0_79p5,OUTER_SYMMETRIC,outer_shift_-0.5pp,0.205,0.35,0.65,0.795,98,56,0.5714285714285714,1016.8753552295974,1779.5318716517952,2657.079374999991,0.7857142857142857,12055.22376058503,12548.155782619471,111389.26612946425,-20169.558828124937,-36829.988278125085,53,0.49179716981131416,105.52985992633025,1.1041009245695637,1.0449526607533366,1.212938005390829,1.1042910887073432,-0.024640554948862636
Q21p0_34p0_66p0_79p0,COMBINED_SYMMETRIC,outer_-1.0pp_inner_+1.0pp,0.21,0.34,0.66,0.79,98,59,0.6020408163265306,1084.0259247449037,1800.5854343220435,3001.737499999999,0.7966101694915254,12003.36474652168,12555.572004690486,113423.65586016946,-20140.861906249942,-35331.08570125008,53,243.4031450471702,190.07838010520652,1.177011537955884,1.0573154493502006,2.3025263831148,1.0458416598141729,-1.851469195025901
Q18p5_35p0_65p0_82p0,OUTER_ASYMMETRIC,put_1.5pp_call_2.0pp,0.185,0.35,0.65,0.82,98,58,0.5918367346938775,777.4289438775571,1313.5868362069068,1963.5670000000237,0.6551724137931034,11988.905195119232,12567.860773785578,111633.44384913788,-16666.999090624897,-35577.82120437508,53,-438.04851886792574,72.83721673753205,0.844115270674982,0.771346712858173,-11.8412491867274,0.9489902537302974,-0.2439057453083704
Q21p0_35p0_65p0_79p0,COMBINED_SYMMETRIC|OUTER_SYMMETRIC,outer_shift_-1.0pp,0.21,0.35,0.65,0.79,98,57,0.5816326530612245,1055.5502582908218,1814.8057072368517,3001.737499999999,0.8070175438596491,12063.834456487011,12573.566087528783,112300.70282017537,-20088.14943749994,-36761.34075250008,53,32.81378773584906,191.16335749645594,1.1460932848012606,1.0656656858678386,3.343263819927167,0.9040249969252123,-0.8430868069513986
